Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,12/1/2019,South Atlantic,United States,900
Air,12/1/2019,West North Central,United States,
Air,12/1/2019,East North Central,United States,300
Air,12/1/2019,Middle Atlantic,United States,800
Air,12/1/2019,New England (inc Maine),United States,300
Air,12/1/2019,Western Canada,Canada,5800
Air,12/1/2019,Ontario,Canada,12900
Air,12/1/2019,Quebec,Canada,2600
Air,12/1/2019,Atlantic Canada,Canada,6800
Air,11/1/2019,Other Overseas,Overseas,1600
Air,11/1/2019,Other Europe,Overseas,1000
Air,11/1/2019,Germany,Overseas,100
Air,11/1/2019,United Kingdom,Overseas,200
Air,11/1/2019,Pacific,United States,300
Air,11/1/2019,Mountain,United States,
Air,11/1/2019,West South Central,United States,200
Air,11/1/2019,East South Central,United States,
Air,11/1/2019,South Atlantic,United States,1100
Air,11/1/2019,West North Central,United States,100
Air,11/1/2019,East North Central,United States,500
Air,11/1/2019,Middle Atlantic,United States,800
Air,11/1/2019,New England (inc Maine),United States,300
Air,11/1/2019,Western Canada,Canada,5500
Air,11/1/2019,Ontario,Canada,18000
Air,11/1/2019,Quebec,Canada,3000
Air,11/1/2019,Atlantic Canada,Canada,8800
Air,10/1/2019,Western Canada,Canada,14600
Air,10/1/2019,Other Overseas,Overseas,3500
Air,10/1/2019,Other Europe,Overseas,2100
Air,10/1/2019,Germany,Overseas,3600
Air,10/1/2019,United Kingdom,Overseas,3200
Air,10/1/2019,Pacific,United States,2200
Air,10/1/2019,Mountain,United States,800
Air,10/1/2019,West South Central,United States,500
Air,10/1/2019,East South Central,United States,800
Air,10/1/2019,South Atlantic,United States,1900
Air,10/1/2019,West North Central,United States,500
Air,10/1/2019,East North Central,United States,1500
Air,10/1/2019,Middle Atlantic,United States,1900
Air,10/1/2019,New England (inc Maine),United States,1000
Air,10/1/2019,Ontario,Canada,29800
Air,10/1/2019,Quebec,Canada,3600
Air,10/1/2019,Atlantic Canada,Canada,9000
Air,9/1/2019,Atlantic Canada,Canada,6800
Air,9/1/2019,Quebec,Canada,3000
Air,9/1/2019,Ontario,Canada,39700
Air,9/1/2019,Western Canada,Canada,17200
Air,9/1/2019,New England (inc Maine),United States,1900
Air,9/1/2019,Middle Atlantic,United States,2300
Air,9/1/2019,East North Central,United States,2900
Air,9/1/2019,West North Central,United States,1100
Air,9/1/2019,South Atlantic,United States,4200
Air,9/1/2019,East South Central,United States,700
Air,9/1/2019,West South Central,United States,1200
Air,9/1/2019,Mountain,United States,1300
Air,9/1/2019,Pacific,United States,2300
Air,9/1/2019,United Kingdom,Overseas,4800
Air,9/1/2019,Germany,Overseas,3000
Air,9/1/2019,Other Europe,Overseas,2300
Air,9/1/2019,Other Overseas,Overseas,2800
Air,8/1/2019,West North Central,United States,1600
Air,8/1/2019,Other Overseas,Overseas,4000
Air,8/1/2019,Other Europe,Overseas,4400
Air,8/1/2019,Germany,Overseas,2100
Air,8/1/2019,United Kingdom,Overseas,6800
Air,8/1/2019,Pacific,United States,4600
Air,8/1/2019,Mountain,United States,1800
Air,8/1/2019,West South Central,United States,2500
Air,8/1/2019,East South Central,United States,1000
Air,8/1/2019,South Atlantic,United States,5700
Air,8/1/2019,East North Central,United States,2200
Air,8/1/2019,Middle Atlantic,United States,4400
Air,8/1/2019,New England (inc Maine),United States,2700
Air,8/1/2019,Western Canada,Canada,31100
Air,8/1/2019,Ontario,Canada,42900
Air,8/1/2019,Quebec,Canada,3400
Air,8/1/2019,Atlantic Canada,Canada,7600
Air,7/1/2019,Ontario,Canada,38200
Air,7/1/2019,Western Canada,Canada,22100
Air,7/1/2019,New England (inc Maine),United States,2300
Air,7/1/2019,Middle Atlantic,United States,3200
Air,7/1/2019,East North Central,United States,1800
Air,7/1/2019,West North Central,United States,1600
Air,7/1/2019,South Atlantic,United States,4200
Air,7/1/2019,East South Central,United States,1300
Air,7/1/2019,West South Central,United States,2100
Air,7/1/2019,Mountain,United States,1100
Air,7/1/2019,Pacific,United States,2000
Air,7/1/2019,United Kingdom,Overseas,5700
Air,7/1/2019,Quebec,Canada,2400
Air,7/1/2019,Germany,Overseas,2500
Air,7/1/2019,Other Europe,Overseas,3200
Air,7/1/2019,Other Overseas,Overseas,3000
Air,7/1/2019,Atlantic Canada,Canada,9000
Air,6/1/2019,Atlantic Canada,Canada,6900
Air,6/1/2019,Quebec,Canada,3100
Air,6/1/2019,Ontario,Canada,31600
Air,6/1/2019,Western Canada,Canada,18800
Air,6/1/2019,New England (inc Maine),United States,1700
Air,6/1/2019,Middle Atlantic,United States,2100
Air,6/1/2019,East North Central,United States,1900
Air,6/1/2019,West North Central,United States,600
Air,6/1/2019,South Atlantic,United States,3800
Air,6/1/2019,East South Central,United States,400
Air,6/1/2019,West South Central,United States,1300
Air,6/1/2019,Mountain,United States,1200
Air,6/1/2019,Pacific,United States,1500
Air,6/1/2019,United Kingdom,Overseas,3300
Air,6/1/2019,Germany,Overseas,900
Air,6/1/2019,Other Europe,Overseas,1200
Air,6/1/2019,Other Overseas,Overseas,2300
Air,5/1/2019,Middle Atlantic,United States,600
Air,5/1/2019,New England (inc Maine),United States,1000
Air,5/1/2019,Western Canada,Canada,9900
Air,5/1/2019,Ontario,Canada,20100
Air,5/1/2019,Quebec,Canada,2300
Air,5/1/2019,Atlantic Canada,Canada,6700
Air,5/1/2019,East North Central,United States,600
Air,5/1/2019,West North Central,United States,200
Air,5/1/2019,South Atlantic,United States,1200
Air,5/1/2019,East South Central,United States,
Air,5/1/2019,West South Central,United States,400
Air,5/1/2019,Mountain,United States,300
Air,5/1/2019,Pacific,United States,600
Air,5/1/2019,United Kingdom,Overseas,1000
Air,5/1/2019,Germany,Overseas,700
Air,5/1/2019,Other Europe,Overseas,800
Air,5/1/2019,Other Overseas,Overseas,1500
Air,4/1/2019,United Kingdom,Overseas,800
Air,4/1/2019,Pacific,United States,300
Air,4/1/2019,Mountain,United States,200
Air,4/1/2019,West South Central,United States,100
Air,4/1/2019,East South Central,United States,200
Air,4/1/2019,South Atlantic,United States,700
Air,4/1/2019,West North Central,United States,200
Air,4/1/2019,East North Central,United States,300
Air,4/1/2019,Middle Atlantic,United States,700
Air,4/1/2019,New England (inc Maine),United States,1200
Air,4/1/2019,Western Canada,Canada,6200
Air,4/1/2019,Ontario,Canada,15000
Air,4/1/2019,Quebec,Canada,2800
Air,4/1/2019,Atlantic Canada,Canada,6900
Air,4/1/2019,Other Overseas,Overseas,1500
Air,4/1/2019,Other Europe,Overseas,1200
Air,4/1/2019,Germany,Overseas,200
Air,3/1/2019,East North Central,United States,300
Air,3/1/2019,Other Overseas,Overseas,700
Air,3/1/2019,Other Europe,Overseas,500
Air,3/1/2019,Germany,Overseas,200
Air,3/1/2019,United Kingdom,Overseas,300
Air,3/1/2019,Pacific,United States,200
Air,3/1/2019,Mountain,United States,200
Air,3/1/2019,West South Central,United States,
Air,3/1/2019,East South Central,United States,100
Air,3/1/2019,South Atlantic,United States,600
Air,3/1/2019,West North Central,United States,
Air,3/1/2019,Middle Atlantic,United States,500
Air,3/1/2019,New England (inc Maine),United States,800
Air,3/1/2019,Western Canada,Canada,5900
Air,3/1/2019,Ontario,Canada,13800
Air,3/1/2019,Quebec,Canada,2300
Air,3/1/2019,Atlantic Canada,Canada,6600
Air,2/1/2019,Quebec,Canada,1900
Air,2/1/2019,Ontario,Canada,12200
Air,2/1/2019,Western Canada,Canada,4000
Air,2/1/2019,New England (inc Maine),United States,400
Air,2/1/2019,Middle Atlantic,United States,500
Air,2/1/2019,Pacific,United States,200
Air,2/1/2019,Mountain,United States,100
Air,2/1/2019,West South Central,United States,200
Air,2/1/2019,Other Overseas,Overseas,900
Air,2/1/2019,East South Central,United States,
Air,2/1/2019,East North Central,United States,300
Air,2/1/2019,Other Europe,Overseas,500
Air,2/1/2019,West North Central,United States,
Air,2/1/2019,South Atlantic,United States,600
Air,2/1/2019,Germany,Overseas,300
Air,2/1/2019,United Kingdom,Overseas,600
Air,2/1/2019,Atlantic Canada,Canada,6500
Air,1/1/2019,Germany,Overseas,
Air,1/1/2019,Ontario,Canada,16000
Air,1/1/2019,Western Canada,Canada,5700
Air,1/1/2019,New England (inc Maine),United States,700
Air,1/1/2019,Middle Atlantic,United States,300
Air,1/1/2019,East North Central,United States,400
Air,1/1/2019,West North Central,United States,
Air,1/1/2019,South Atlantic,United States,800
Air,1/1/2019,Other Overseas,Overseas,3100
Air,1/1/2019,Other Europe,Overseas,200
Air,1/1/2019,Quebec,Canada,1600
Air,1/1/2019,United Kingdom,Overseas,900
Air,1/1/2019,Pacific,United States,600
Air,1/1/2019,Mountain,United States,300
Air,1/1/2019,West South Central,United States,
Air,1/1/2019,East South Central,United States,
Air,1/1/2019,Atlantic Canada,Canada,6200
