Date,Passenger_Count,Screened traffic
4/1/2024,26390,Other International sector passengers
8/1/2024,19277,Other International sector passengers
12/1/2024,10514,Other International sector passengers
2/1/2024,21737,Other International sector passengers
1/1/2024,16364,Other International sector passengers
7/1/2024,17204,Other International sector passengers
6/1/2024,14468,Other International sector passengers
3/1/2024,27303,Other International sector passengers
5/1/2024,14211,Other International sector passengers
11/1/2024,5570,Other International sector passengers
10/1/2024,10666,Other International sector passengers
9/1/2024,19081,Other International sector passengers
4/1/2025,30223,Other International sector passengers
8/1/2025,25718,Other International sector passengers
12/1/2025,11164,Other International sector passengers
2/1/2025,19364,Other International sector passengers
1/1/2025,14311,Other International sector passengers
7/1/2025,21920,Other International sector passengers
6/1/2025,18873,Other International sector passengers
3/1/2025,28741,Other International sector passengers
5/1/2025,16883,Other International sector passengers
11/1/2025,8599,Other International sector passengers
10/1/2025,14300,Other International sector passengers
9/1/2025,24177,Other International sector passengers
2/1/2026,19508,Other International sector passengers
1/1/2026,17980,Other International sector passengers
